covariate,coef,exp(coef),se(coef),coef lower 95%,coef upper 95%,exp(coef) lower 95%,exp(coef) upper 95%,cmp to,z,p,-log2(p)
treatment_continuation,-0.5774510567225613,0.5613273361504354,0.22709586016727307,-1.0225507636885607,-0.13235134975656176,0.3596763197832486,0.8760331469684334,0.0,-2.542763466921966,0.010997965159160428,6.506619568420114
gender_M,0.13898881838342086,1.1491112510103534,0.22027413326732387,-0.2927405495463101,0.5707181863131519,0.7462157215913275,1.7695374527658914,0.0,0.6309811157660739,0.5280528720341406,0.9212457062078059
race_Black,-0.8666220105222723,0.42036915615528037,0.4468232313189948,-1.7423794513633117,0.009135430318767068,0.17510325484631206,1.0091772857209356,0.0,-1.939518695042013,0.052438210349782334,4.253237740743514
race_Other,-0.4877487118285641,0.6140071463915366,0.5660988839587351,-1.5972821360760043,0.621784712418876,0.20244599161632332,1.8622486560977674,0.0,-0.8615963140886845,0.3889097000271676,1.3624928765550168
race_Unknown,-0.4358029137103871,0.6467451779829552,0.5483292021476847,-1.5105084015914318,0.6389025741706575,0.22079769551972447,1.8944007737926698,0.0,-0.794783338190713,0.42673954474833076,1.2285722876788976
race_White,-0.28630813314118664,0.7510311626982178,0.3182770225373582,-0.9101196344210517,0.33750336813867843,0.40247607116156237,1.4014443286428728,0.0,-0.8995564017115966,0.3683563677389913,1.4408259123250229
payer_Medicaid,0.7227173622165465,2.060023441728393,0.35679607380626016,0.023409907730981616,1.4220248167021112,1.0236860703912265,4.14550583739863,0.0,2.0255754344678722,0.04280831102000305,4.545965273911328
payer_Other,0.3077391414537048,1.3603460847471416,0.38648043101018853,-0.44974858405578183,1.0652268669631915,0.6377884816594928,2.901497163247389,0.0,0.7962606040604215,0.42588057879702423,1.231479153945053
payer_Unknown,0.6528349666230672,1.9209790282436763,0.44039577796588864,-0.21032489713357283,1.5159948303797073,0.8103209322494049,4.553949281192013,0.0,1.4823824370851104,0.13823856443892832,2.8547679540991004
smoking_history_Former,-0.27185191214765414,0.7619670908053118,0.22849599554499747,-0.7196958340274738,0.17599200973216556,0.48690033195198246,1.19242853078927,0.0,-1.1897447546038882,0.23414672918780863,2.0945152098185096
smoking_history_Unknown,-0.4783017428332327,0.6198351379508897,0.40234708393456886,-1.2668875366297019,0.3102840509632365,0.28170706159483727,1.3638124513582994,0.0,-1.1887789471614907,0.23452666459903887,2.092176135055664
ecog_ps_1,-0.11037894024673602,0.8954947319991104,0.29042802099391535,-0.6796074014960528,0.4588495210025808,0.5068159284873232,1.5822525890841581,0.0,-0.3800560974419494,0.7039037740291267,0.5065498737228734
ecog_ps_2,0.6109908824055439,1.8422559536836896,0.3366622152314047,-0.04885493440348132,1.270836699214569,0.9523192684414256,3.563833171660487,0.0,1.8148483992644657,0.06954721020139054,3.845863545738243
ecog_ps_3,-0.28168593543684595,0.754510612371692,0.40682104864871443,-1.0790405389411435,0.5156686680674516,0.3399215106875269,1.6747579846596485,0.0,-0.6924074758975381,0.48868147231653225,1.0330336870569465
pdl1_status_Positive (TPS ≥50%),0.0926107963505083,1.0970346822662225,0.24366717291478848,-0.38496808677717087,0.5701896794781874,0.6804723519238726,1.7686024872169837,0.0,0.380070878004132,0.7038928025678561,0.5065723605977953
pdl1_status_Unknown,0.19492552266142518,1.215220476732421,0.2809646148815677,-0.35575500343661404,0.7456060487594643,0.7006442546440176,2.1077184281202497,0.0,0.6937724978057833,0.4878248925026032,1.0355647177008105
histology_Adenosquamous,-0.6582045050706264,0.5177801720540534,0.5605743691600956,-1.7569100792806747,0.4405010691394218,0.1725772909676465,1.5534854271329694,0.0,-1.1741608986811318,0.2403305845629667,2.056907836808391
histology_Large Cell,-0.060680278568501625,0.9411240892204626,0.6249040248745101,-1.2854696611166636,1.1641091039796603,0.27652068211717223,3.2030680111505534,0.0,-0.09710335692058811,0.9226443150251864,0.11615350752207493
histology_NSCLC NOS,0.22947723731525066,1.2579422327549223,0.33891038684166025,-0.43477491488094083,0.8937293895114422,0.6474103731202024,2.444228153654617,0.0,0.6771029930766418,0.49834061001175844,1.004795950174901
histology_Squamous Cell Carcinoma,0.4588129502915238,1.5821947260399563,0.23815689930226902,-0.007965995010655813,0.9255918955937035,0.9920656494453229,2.523361384912685,0.0,1.9265154678941208,0.05404004235379989,4.20982738440067
de_novo_vs_recurrent_Recurrent,0.28220618393180447,1.3260521024385474,0.2544967350309012,-0.21659825091179502,0.781010618775404,0.8052534141537248,2.183678016726802,0.0,1.1088793885608739,0.2674822165985026,1.9024851169361745
brain_mets_Yes,-0.369189605029799,0.6912943251423659,0.2379411481791107,-0.8355456859009642,0.09716647584136623,0.43363778683201154,1.1020438220232172,0.0,-1.5516005022884514,0.12075784290828373,3.049811203487253
diabetes_Yes,0.6523372794925079,1.9200232195698121,0.31366674252201376,0.03756176100136255,1.2671127979836532,1.0382761200745214,3.550586488903003,0.0,2.0797145220033184,0.0375517253015667,4.734976996367179
chronic_respiratory_disease_Yes,0.48626187064551907,1.626225801256322,0.23889321892322699,0.018039765405151675,0.9544839758858865,1.0182034648580753,2.5973299521627458,0.0,2.0354779128401668,0.04180280875023436,4.580256308858577
severe_cardiac_Yes,-0.7221082215002633,0.4857271553379208,0.5688239018189688,-1.83698258261099,0.39276613961046325,0.15929736829894314,1.4810719847544023,0.0,-1.2694758767891545,0.2042713890029399,2.2914409458046623
chronic_kidney_disease_Yes,-0.48358069366781214,0.6165716801274516,0.6286238027174574,-1.715660706818641,0.7484993194830165,0.17984485672717607,2.1138254585277942,0.0,-0.769268824338749,0.4417337404966998,1.1787510624002033
beta_blocker_Yes,0.3672533481267251,1.4437636476004618,0.2556959633291918,-0.13390153099076524,0.8684082272442155,0.8746761888606978,2.3831144561596886,0.0,1.4362891902752115,0.1509200686852208,2.7281434330417245
diuretic_Yes,0.10188188588685393,1.1072526818354758,0.39117352791084015,-0.6648041405238663,0.8685679122975742,0.5143742629150085,2.3834950343042918,0.0,0.2604518931303444,0.7945152187549315,0.3318532405596529
steroid_Yes,0.0783274547950102,1.0814767354375625,0.21805820099172912,-0.3490587656823752,0.5057136752723956,0.7053516785792916,1.6581684921321256,0.0,0.35920435204352225,0.7194422211417457,0.4750492670175774
rasi_Yes,-0.10385035806661538,0.9013601686080669,0.232069068742161,-0.558697374727001,0.35099665859377016,0.5719536200451274,1.4204825794949247,0.0,-0.44749762917348423,0.6545157992848394,0.6115000772397192
anticoagulant_Yes,-0.1683856199394771,0.8450279122352273,0.3437020827804029,-0.842029323600471,0.5052580837215168,0.4308353313995815,1.6574132166388074,0.0,-0.48991736848758505,0.6241923721210527,0.6799373678294868
